"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"91"	"pyloric-VMV-T12-Rep5"	709	"3_12_5_P"	31	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"92"	"pyloric-VMV-T12-Rep6"	638	"3_12_6_P"	133	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"93"	"pyloric-VMV-T3-Rep1"	3783	"3_3_1_P"	22	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"94"	"pyloric-VMV-T3-Rep6"	650	"3_3_6_P"	52	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"95"	"pyloric-VMV-T8-Rep1"	1078	"3_8_1_P"	222	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"96"	"pyloric-VMV-T8-Rep2"	2929	"3_8_2_P"	172	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"97"	"pyloric-VMV-T8-Rep3"	4944	"3_8_3_P"	123	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"98"	"pyloric-VMV-T8-Rep4"	3601	"3_8_4_P"	101	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"99"	"pyloric-VMV-T8-Rep5"	1096	"3_8_5_P"	106	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"100"	"water-MMV-T1-Rep1"	47419	"X1"	204	"water"	"challenge"	"water"	"MMV"	"water.MMV"	"water.MMV"	"water.MMV"	"sample"	"water"	FALSE
"101"	"water-MMV-T9-Rep2"	174606	"X9"	232	"water"	"challenge"	"water"	"MMV"	"water.MMV"	"water.MMV"	"water.MMV"	"sample"	"water"	FALSE
"102"	"water-VMV-T12-Rep3"	33175	"X12"	229	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"103"	"water-VMV-T3-Rep1"	54847	"X3"	210	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"104"	"water-VMV-T3+12-Rep4"	48540	"X3+12"	190	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"105"	"water-VMV-T8-Rep2"	170621	"X8"	241	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
